Store Id,Facebook Store Id,Storefront name,Custom Facebook name,Location descriptor,Short description,Long description,Street Address,City,State,Postal Code,Country,Latitude,Longitude,Phone,Email,Webpage,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Sunday hours,Always open,Temporarily closed until,Permanently closed,Opening date,WiFi SSID,Service area,Facebook link,Bing Maps,Google Maps,Google Review Link,Custom Data mon,Custom Data tis
8,,Acme,,sdf,We have it all! We sell it all,,"1758 military rd, space 122",Niagara Falls,NY,14304,United States,43.097094,-78.979401,1-707-222-3340,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,,https://www.facebook.com/Acme-1455255258137515/,,,,,
7,,Acme,,cvcbcv,We have it all! We sell it all,,135 5th avenue,New York,,10010,Afghanistan,40.739686,-73.990636,1-707-222-3339,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,,https://www.facebook.com/Acme-854578054620128/,,,,,
1,,Acme,,Sdfsdfdfdsdf,We have it all! We sell it all,,"ocean and mission street - carmel plaza, space 205a",Carmel,,93922,Afghanistan,36.55438,-121.920551,+45 26 70 70 06,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,,https://www.facebook.com/Acme-127464294267308/,,,,,
9,,Acme,,Fdgdfg,We have it all! We sell it all,,4200 conroy road,Orlando,FA,32839,United States,28.485312,-81.430931,1-707-222-3341,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,,https://www.facebook.com/Acme-399496490250593/,,,,,
4,,Acme,,sdf,We have it all! We sell it all,,355 santana row - space #1005,San Jose,Alabama,95128,United States,37.321108,-121.948168,1-707-222-3336,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,,https://www.facebook.com/Acme-531819736965825/,,,,,
5,,Acme,Acme,,We have it all! We sell it all,,7931 girard avenue,La Jolla,California,92037,United States,32.84534173,-117.2714138,1-707-222-3337,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,,https://www.facebook.com/Acme-503015159858540/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Madrid, Spain",https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Melbourne VIC, Australia",https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Miami, FL, USA",https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Mumbai, Maharashtra, India",https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Manhattan, New York, NY, USA",https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,Ukraine,https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Udaipur, Rajasthan, India",https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Ujjain, Madhya Pradesh, India",https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Utrecht, Netherlands",https://www.facebook.com/Acme-1035846159793752/,,,,,
2,,Acme,,sdf,We have it all! We sell it all,,865 market street - space 108,San Francisco,Alabama,94103,United States,37.784006,-122.406835,1-707-222-3334,customerservice2@cosstores.com,http://acme.com/,0900-1100,,,,,,,0,,0,,,"Ukraine, Kyiv Oblast, Ukraine",https://www.facebook.com/Acme-1035846159793752/,,,,,
